Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt
KAVVERITEL,Exit,INFRA-TELECOM,#N/A,#N/A,12.1,#N/A,#N/A,#N/A,#N/A
KAYA,Exit,FMCG,0,0,919.05,0.96,933,912,0.014951768
KCP,Exit,CEMENTS,0,0,128,-2.54,128.9,124.75,0.006982157
KCPSUGIND,Buy,FMCG-SUGAR,sugar,0,35.7,0.14,36.1,35.65,0.011080332
KDDL,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,197.7,2.17,204.9,198.45,0.035139092
KEC,Buy,INFRA-POWER,0,0,237.35,1.87,253.5,236.2,0.063708087
KECL,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,41.45,0.84,43,41.65,0.036046512
KEI,Buy,INFRA-MACHINERY EQUIPMENT,"copper, aluminium",0,235.1,-4.98,238,222.05,0.012184874
KELLTONTEC,HWLV,IT,0,0,118.95,0.21,120,118.65,0.00875
KERNEX,TA,IT,#N/A,#N/A,53.15,#N/A,#N/A,#N/A,#N/A
KESARENT,TA,FMCG-SUGAR,#N/A,#N/A,63.95,#N/A,#N/A,#N/A,#N/A
KESORAMIND,Exit,DIVERSIFIED,0,0,144.65,0.38,147,145,0.015986395
KGL,Exit,FMCG-FOOD,#N/A,#N/A,1.35,#N/A,#N/A,#N/A,#N/A
KHAITANELE,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,29.3,#N/A,#N/A,#N/A,#N/A
KHAITANLTD,TA,FMCG-BEVERAGES,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A
KHANDSE,Exit,FINANCIAL SERVICES,#N/A,#N/A,17,#N/A,#N/A,#N/A,#N/A
KICL,Exit,FINANCIAL SERVICES,#N/A,#N/A,1794.2,#N/A,#N/A,#N/A,#N/A
KILITCH,TA,PHARMA,#N/A,#N/A,59.7,#N/A,#N/A,#N/A,#N/A
KINGFA,NL,FMCG-PACKAGING,#N/A,#N/A,824.7,#N/A,#N/A,#N/A,#N/A
KIOCL,NL,METALS AND MINING,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KIRIINDUS,Buy,CHEMICALS,crude oil,0,281,-0.21,283.85,280.4,0.010040514
KIRLOSBROS,Exit,INFRA-MACHINERY EQUIPMENT,0,0,277,-3.21,278.65,267.15,0.005921407
KIRLOSENG,HWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,399.85,-0.59,400.15,392.55,0.000749719
KIRLOSIND,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,1372.55,-0.84,1391,1350,0.013263839
KITEX,BWLV,TEXTILES AND APPAREL,0,0,400.5,0.25,409,401.2,0.020782396
KKCL,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,1742.15,#N/A,#N/A,#N/A,#N/A
KMSUGAR,HWV,FMCG-SUGAR,0,0,25.1,-3.78,25.7,24.05,0.023346304
KNRCON,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,206.35,-0.17,207.25,203.2,0.004342581
KOHINOOR,HWV,FMCG-FOOD,#N/A,#N/A,80.2,-0.81,80.8,79,0.007425743
KOKUYOCMLN,Exit,CHEMICALS,0,0,100,-1.2,101.05,98.55,0.010390896
KOLTEPATIL,Buy,REALTY,0,0,185.9,0.03,188.9,184.25,0.015881419
KOPRAN,Buy,PHARMA,0,0,94.8,-2.11,95.35,91.9,0.005768222
KOTAKBANK,HWV,BANKS-PRIVATE,#N/A,#N/A,927.65,1.26,940,930.55,0.013138298
KOTAKNIFTY,Exit,ETF,#N/A,#N/A,941.45,#N/A,#N/A,#N/A,#N/A
KOTAKPSUBK,Exit,ETF,#N/A,#N/A,376.65,#N/A,#N/A,#N/A,#N/A
KOTARISUG,Exit,FMCG-SUGAR,#N/A,#N/A,13.8,#N/A,#N/A,#N/A,#N/A
KOTHARIPET,Exit,DIVERSIFIED,#N/A,#N/A,28.75,#N/A,#N/A,#N/A,#N/A
KOTHARIPRO,HWLV,DIVERSIFIED,#N/A,#N/A,195.3,#N/A,#N/A,#N/A,#N/A
KPIT,HWV,IT,#N/A,#N/A,129.2,-0.23,130.35,128.45,0.008822401
KPRMILL,Buy,TEXTILES AND APPAREL,cotton ,Down,756.4,-1.1,775,748.1,0.024
KRBL,Buy,FMCG-FOOD,"Rice, Paddy ",0,420.3,-0.48,424.8,410.1,0.01059322
KREBSBIO,Exit,PHARMA,#N/A,#N/A,95.4,#N/A,#N/A,#N/A,#N/A
KRIDHANINF,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,58.5,#N/A,#N/A,#N/A,#N/A
KSBPUMPS,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,672.6,#N/A,#N/A,#N/A,#N/A
KSCL,HWV,FMCG-FOOD,#N/A,#N/A,556.6,-0.89,561.1,550,0.008019961
KSERASERA,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,#N/A
KSK,TA,INFRA-POWER,#N/A,#N/A,9.95,#N/A,#N/A,#N/A,#N/A
KSL,Buy,AUTO-AUTO ANCL AND COMPONENTS,0,0,368.65,0.09,373.5,368.25,0.012985274
KTIL,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,206.2,0.39,209.7,206.1,0.01669051
KTKBANK,Buy,BANKS-PRIVATE,#N/A,#N/A,168.8,-0.95,171.2,166,0.014018692
KWALITY,HWV,FMCG-FOOD,0,0,147.1,-0.41,148.5,145,0.009427609
L&TFH,Buy,FINANCIAL SERVICES-NBFC,#N/A,#N/A,134.6,-0.59,135.35,133.05,0.00554119
LAKPRE,Exit,IT,#N/A,#N/A,41.3,#N/A,#N/A,#N/A,#N/A
LAKSHMIEFL,HWV,FMCG-FOOD,0,0,50.7,0.3,51.5,50.8,0.015533981
LAKSHVILAS,HWV,BANKS-PRIVATE,BOND PRICE,UP,180.7,2.35,185.65,181.35,0.026663076
LALPATHLAB,Exit,PHARMA,0,0,961.55,-0.1,969.95,955,0.00866024
LAMBODHARA,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,77.15,#N/A,#N/A,#N/A,#N/A
LAOPALA,Exit,REALTY-HOUSEHOLD,0,0,534.8,-2.02,541.45,524,0.012281836
LAURUSLABS,NL,PHARMA,#N/A,#N/A,554.8,0.18,562.4,551,0.013513514
LAXMIMACH,BWLV,INFRA-MACHINERY EQUIPMENT,0,0,4524.4,1.67,4619.75,4480,0.020639645
LCCINFOTEC,Exit,FINANCIAL SERVICES-NBFC,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A
LFIC,Exit,FINANCIAL SERVICES-NBFC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LGBBROSLTD,BWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,660.15,#N/A,#N/A,#N/A,#N/A
LGBFORGE,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,6,#N/A,#N/A,#N/A,#N/A
LIBERTSHOE,HWV,FOOTWEAR,0,0,186,-1.4,187.8,182.5,0.009584665
LICHSGFIN,Buy,FINANCIAL SERVICES-NBFC,#N/A,#N/A,697.35,-0.67,706.45,691.7,0.012881308
LICNFNHGP,#N/A,#N/A,#N/A,#N/A,102.38,#N/A,#N/A,#N/A,#N/A
LINCOLN,HWV,PHARMA,0,0,223.85,2.23,234.9,225.2,0.047041294
LINCPEN,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,292.15,#N/A,#N/A,#N/A,#N/A
LINDEINDIA,RS,CHEMICALS,#N/A,#N/A,450.85,#N/A,#N/A,#N/A,#N/A
LITL,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,3.4,#N/A,#N/A,#N/A,#N/A
LLOYDELENG,Buy,REALTY-HOUSEHOLD,"copper, aluminium",down,248.4,1.69,258.4,248.65,0.03869969
LML,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,12.5,#N/A,#N/A,#N/A,#N/A
LOKESHMACH,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,99.6,#N/A,#N/A,#N/A,#N/A
LOTUSEYE,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,35.2,#N/A,#N/A,#N/A,#N/A
LOVABLE,HWLV,TEXTILES AND APPAREL,0,0,252.1,-0.36,256,250.4,0.015234375
LPDC,Exit,REALTY,#N/A,#N/A,3.75,#N/A,#N/A,#N/A,#N/A
