Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt
MUKANDLTD,HWV,METALS AND MINING,"pig iron, coke",#REF!,84.2,-1.78,84.85,81.7,0.007660577
MUKTAARTS,TA,MEDIA-ENTERTAINMENT,#REF!,#REF!,102.35,-2.3,102.8,99.55,0.004377432
MUNJALAU,BWLV,AUTO-AUTO ANCL AND COMPONENTS,NA,#REF!,100.5,-0.1,103.05,99.8,0.024745269
MUNJALSHOW,BWLV,AUTO-AUTO ANCL AND COMPONENTS,NA,#REF!,199.6,2.68,220,198.3,0.092727273
MURUDCERA,RS,REALTY-HOUSEHOLD,#N/A,#N/A,43.5,#N/A,#N/A,#N/A,#N/A
MUTHOOTCAP,HWLV,FINANCIAL SERVICES,#N/A,#N/A,426.6,0.8,431,424.8,0.010208817
MUTHOOTFIN,Buy,JEWELLERY,#REF!,#REF!,398.8,-0.5,401.95,395,0.007836796
MVL,Exit,REALTY,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,#N/A
N100,Exit,ETF,#N/A,#N/A,374.14,#N/A,#N/A,#N/A,#N/A
NAGAAGRI,NL,#REF!,#N/A,#N/A,29.2,#N/A,#N/A,#N/A,#N/A
NAGAFERT,NL,FERTILISERS,#N/A,#N/A,19.15,#N/A,#N/A,#N/A,#N/A
NAGAROIL,Exit,ENERGY-OIL & GAS,#N/A,#N/A,4.75,#N/A,#N/A,#N/A,#N/A
NAGREEKCAP,Exit,FINANCIAL SERVICES,#N/A,#N/A,16.75,#N/A,#N/A,#N/A,#N/A
NAGREEKEXP,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,37.65,#N/A,#N/A,#N/A,#N/A
NAHARCAP,HWLV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,109.75,#N/A,#N/A,#N/A,#N/A
NAHARINDUS,BWLV,TEXTILES AND APPAREL,#REF!,#REF!,136.85,0.37,139.9,135.8,0.021801287
NAHARPOLY,HWLV,FMCG-PACKAGING,#N/A,#N/A,63.25,#N/A,#N/A,#N/A,#N/A
NAHARSPING,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,142.65,#N/A,#N/A,#N/A,#N/A
NAKODA,Exit,TEXTILES AND APPAREL,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A
NATCOPHARM,HWV,PHARMA,#REF!,#REF!,897.8,1.69,921,907.95,0.025190011
NATHBIOGEN,Exit,FMCG-FOOD,#N/A,#N/A,214.05,#N/A,#N/A,#N/A,#N/A
NATIONALUM,Buy,METALS AND MINING,"Caustic Soda, Aluminium",#REF!,67.7,0.15,68.2,67.25,0.007331378
NATNLSTEEL,HWLV,METALS AND MINING,#N/A,#N/A,26.45,#N/A,#N/A,#N/A,#N/A
NAUKRI,HWV,IT,#REF!,#REF!,849.1,-0.74,850,840.85,0.001058824
NAVINFLUOR,Buy,CHEMICALS,#REF!,#REF!,3055.5,0.47,3089.95,2994.4,0.011149048
NAVKARCORP,HWV,TRANSPORTATION LOGISTICS,#REF!,#REF!,215.45,1.51,221.65,216.35,0.027972028
NAVNETEDUL,Buy,MEDIA-ENTERTAINMENT,#N/A,#N/A,164.75,-0.03,166.95,164,0.013177598
NBCC,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,198.1,-0.93,199.75,195,0.008260325
NBIFIN,NL,FINANCIAL SERVICES-NBFC,#N/A,#N/A,4230,#N/A,#N/A,#N/A,#N/A
NBVENTURES,Buy,INFRA-POWER,#REF!,#REF!,147.9,-1.08,149.9,146.15,0.013342228
NCC,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,95.4,0.68,97.7,95.5,0.023541453
NCLIND,Exit,CEMENTS,#REF!,#REF!,215.1,-0.67,217.5,213.5,0.011034483
NDGL,NL,FINANCIAL SERVICES-NBFC,#N/A,#N/A,418,#N/A,#N/A,#N/A,#N/A
NDL,HWLV,TEXTILES AND APPAREL,#REF!,#REF!,120.1,7.99,131.7,118.85,0.088078967
NDTV,Exit,MEDIA,#REF!,#REF!,68.05,0.15,69,68,0.013768116
NECCLTD,HWV,TRANSPORTATION LOGISTICS,#N/A,#N/A,50.95,4.02,55,52.1,0.073636364
NECLIFE,Exit,PHARMA,#REF!,#REF!,36.75,6.39,39.35,36.7,0.066073698
NELCAST,HWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,62.25,-0.56,63.5,61.9,0.019685039
NELCO,HWLV,IT,#REF!,#REF!,86.25,-2.2,87.15,84,0.010327022
NESCO,BWLV,INFRA-POWER,#N/A,#N/A,2571.95,-0.04,2580,2550,0.003120155
NESTLEIND,Exit,FMCG,#REF!,#REF!,6920.35,-0.34,6984.5,6880,0.009184623
NET4,TA,IT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NETWORK18,Exit,MEDIA-ENTERTAINMENT,#REF!,#REF!,50.75,-0.1,52.75,49.65,0.037914692
NEULANDLAB,HWV,PHARMA,#REF!,#REF!,1357.2,-0.53,1370,1320,0.009343066
NEXTMEDIA,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,21.85,#N/A,#N/A,#N/A,#N/A
NFL,Buy,FERTILISERS,#N/A,#N/A,86.95,0.81,89.4,87,0.027404922
NH,Exit,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,312.05,-0.98,315,305.1,0.009365079
NHPC,Buy,INFRA-POWER,#N/A,#N/A,31.1,0.16,31.35,31.05,0.007974482
NIBL,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,36.55,#N/A,#N/A,#N/A,#N/A
NICCO,BWLV,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,0.45,#N/A,#N/A,#N/A,#N/A
NIFTYEES,Exit,FINANCIAL SERVICES,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NIITLTD,Exit,IT,#REF!,#REF!,84.5,0.47,85.9,82.5,0.016298021
NIITTECH,Buy,IT,#N/A,#N/A,527.3,-2.48,531,512.1,0.006967985
NILAINFRA,HWLV,REALTY,#N/A,#N/A,17.4,#N/A,#N/A,#N/A,#N/A
NILKAMAL,Buy,REALTY-HOUSEHOLD,crude oil,Down,2220.6,0.72,2264.9,2210.4,0.019559362
NIPPOBATRY,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,916.45,#N/A,#N/A,#N/A,#N/A
NITCO,Exit,REALTY-HOUSEHOLD,#REF!,#REF!,69.85,-1.57,72.2,68.1,0.032548476
NITESHEST,Exit,REALTY,#N/A,#N/A,10.7,#N/A,#N/A,#N/A,#N/A
NITINFIRE,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,23.1,-1.3,23.45,22.75,0.014925373
NITINSPIN,HWV,TEXTILES AND APPAREL,#N/A,#N/A,135.6,-2.14,136.5,132.15,0.006593407
NKIND,Exit,FMCG-FOOD,#N/A,#N/A,38.9,#N/A,#N/A,#N/A,#N/A
NLCINDIA,Buy,METALS AND MINING,#N/A,#N/A,106.35,#N/A,#N/A,#N/A,#N/A
NMDC,Buy,METALS AND MINING,#N/A,#N/A,125.95,-1.35,127.05,123.8,0.008658009
NOCIL,Buy,CHEMICALS,CRUDE OIL,Down,109.75,-2.51,110.3,106.9,0.004986401
NOIDATOLL,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,12.2,#N/A,#N/A,#N/A,#N/A
NORBTEAEXP,TA,FMCG-BEVERAGES,#N/A,#N/A,6,#N/A,#N/A,#N/A,#N/A
NRAIL,NL,#REF!,#N/A,#N/A,324.2,#N/A,#N/A,#N/A,#N/A
NRBBEARING,BWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,118.05,#N/A,#N/A,#N/A,#N/A
NSIL,HWLV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,920.55,#N/A,#N/A,#N/A,#N/A
NTL,Exit,METALS AND MINING,#N/A,#N/A,4.95,#N/A,#N/A,#N/A,#N/A
NTPC,Buy,INFRA-POWER,#N/A,#N/A,162.2,-0.52,162.45,160.45,0.001538935
NUCLEUS,Buy,IT,#N/A,#N/A,332.95,-1.89,335.2,325.65,0.006712411
NUTEK,TA,INFRA-TELECOM,#N/A,#N/A,0.7,#N/A,#N/A,#N/A,#N/A
OBEROIRLTY,HWV,REALTY,#REF!,#REF!,411.65,-0.23,414.9,407.05,0.007833213
OCCL,BWLV,CHEMICALS,#N/A,#N/A,981.3,#N/A,#N/A,#N/A,#N/A
OCL,Exit,CEMENTS,#REF!,#REF!,1099.05,12.37,1245,1112,0.117228916
OFSS,Buy,IT,#N/A,#N/A,3754.45,0.39,3784,3754.45,0.007809197
OIL,Buy,ENERGY-OIL & GAS,#N/A,#N/A,324.7,-2.22,326.9,317,0.006729887
OILCOUNTUB,Exit,ENERGY-OIL & GAS,#N/A,#N/A,51.6,#N/A,#N/A,#N/A,#N/A
OISL,Exit,METALS AND MINING,#N/A,#N/A,5.95,#N/A,#N/A,#N/A,#N/A
OMAXAUTO,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,83.75,#N/A,#N/A,#N/A,#N/A
OMAXE,HWV,REALTY,#REF!,#REF!,202.15,-0.42,203.3,199.95,0.005656665
OMKARCHEM,HWV,CHEMICALS,#REF!,#REF!,198.9,-1.18,200.9,195,0.009955202
OMMETALS,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,51.3,#N/A,#N/A,#N/A,#N/A
ONELIFECAP,Exit,FINANCIAL SERVICES,#N/A,#N/A,24.3,#N/A,#N/A,#N/A,#N/A
ONGC,Buy,ENERGY-OIL & GAS,#N/A,#N/A,187.95,-1.97,190.25,184,0.012089356
ONMOBILE,Exit,IT,#REF!,#REF!,82.7,-0.24,83.75,82.5,0.012537313
ONWARDTEC,Exit,IT,#N/A,#N/A,86,#N/A,#N/A,#N/A,#N/A
OPTOCIRCUI,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,10.15,-0.49,10.25,10.1,0.009756098
ORBITCORP,Exit,REALTY,#N/A,#N/A,4.4,#N/A,#N/A,#N/A,#N/A
ORBTEXP,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,130.1,#N/A,#N/A,#N/A,#N/A
ORCHIDPHAR,Exit,PHARMA,#REF!,#REF!,34,0.29,34.75,33.95,0.021582734
ORICONENT,HWLV,FMCG-PACKAGING,#REF!,#REF!,58.9,0.93,61,58.75,0.03442623
ORIENTABRA,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,38,#N/A,#N/A,#N/A,#N/A
ORIENTALTL,TA,REALTY-HOUSEHOLD,#N/A,#N/A,13.75,#N/A,#N/A,#N/A,#N/A
ORIENTBANK,Exit,BANKS-PSU,#N/A,#N/A,173.15,1.53,177.85,173,0.026426764
ORIENTBELL,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,229.35,0.55,235,228.55,0.024042553
ORIENTCEM,Exit,CEMENTS,#REF!,#REF!,164.75,0.15,166,164.45,0.00753012
ORIENTHOT,TA,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,40.9,#N/A,#N/A,#N/A,#N/A
ORIENTLTD,HWLV,FMCG-PACKAGING,#N/A,#N/A,72.6,#N/A,#N/A,#N/A,#N/A
ORIENTPPR,HWV,PAPER,#REF!,#REF!,91.05,-0.44,92.45,89.1,0.015143321
ORIENTREF,BWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,143.75,#N/A,#N/A,#N/A,#N/A
ORISSAMINE,Exit,METALS AND MINING,#REF!,#REF!,2099.4,-0.02,2126.2,2083.65,0.012604647
ORTEL,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,108.85,#N/A,#N/A,#N/A,#N/A
ORTINLABSS,Exit,PHARMA,#N/A,#N/A,19.7,#N/A,#N/A,#N/A,#N/A
PAEL,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A
PAGEIND,Exit,TEXTILES AND APPAREL,#N/A,#N/A,14790.2,-0.41,14928,14700.05,0.009230975
PALREDTEC,Exit,IT,#N/A,#N/A,140,#N/A,#N/A,#N/A,#N/A
PANACEABIO,Exit,PHARMA,#N/A,#N/A,153.9,1.04,157.4,154.55,0.022236341
PANAMAPET,HWLV,CHEMICALS,#N/A,#N/A,150.2,-0.7,154,149.15,0.024675325
PANORAMUNI,Exit,IT,#N/A,#N/A,11.8,#N/A,#N/A,#N/A,#N/A
PAPERPROD,BWLV,FMCG-PACKAGING,#N/A,#N/A,269.85,#N/A,#N/A,#N/A,#N/A
PARABDRUGS,Exit,PHARMA,#N/A,#N/A,8.2,#N/A,#N/A,#N/A,#N/A
PARACABLES,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,3.7,#N/A,#N/A,#N/A,#N/A
PARAGMILK,NL,FMCG-FOOD,#REF!,#REF!,249.65,-1.06,252.5,245.5,0.011287129
PARRYSUGAR,HWLV,FMCG-SUGAR,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A
PARSVNATH,Exit,REALTY,#N/A,#N/A,15.8,#N/A,#N/A,#N/A,#N/A
PATELENG,TA,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,97.8,-1.28,98.2,95.55,0.00407332
PATINTLOG,HWLV,TRANSPORTATION LOGISTICS,#REF!,#REF!,89.55,-0.34,90.5,88.75,0.010497238
PATSPINLTD,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,22.05,-2.04,22.3,21.6,0.011210762
PBAINFRA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,24.85,#N/A,#N/A,#N/A,#N/A
PCJEWELLER,Buy,JEWELLERY,#N/A,#N/A,449.25,-1.11,452.7,432.45,0.007620941
PDMJEPAPER,HWLV,PAPER,#N/A,#N/A,25.85,-0.77,26.5,25.4,0.024528302
PDPL,Exit,PHARMA,#N/A,#N/A,26.8,#N/A,#N/A,#N/A,#N/A
PDSMFL,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,207,-1.45,209,204,0.009569378
PDUMJEIND,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,13.15,#N/A,#N/A,#N/A,#N/A
PDUMJEPULP,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,25.4,#N/A,#N/A,#N/A,#N/A
PEARLPOLY,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,38,0,0,0,#DIV/0!
PEL,HWV,PHARMA,#REF!,#REF!,2526.75,0.23,2565,2512.05,0.014912281
PENIND,BWLV,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,48.85,0.2,49.45,48.75,0.012133468
PENINLAND,Exit,REALTY,#N/A,#N/A,23.95,#N/A,#N/A,#N/A,#N/A
PENPEBS,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,148.35,#N/A,#N/A,#N/A,#N/A
PERSISTENT,Buy,IT,#REF!,#REF!,584.1,0.08,587,580.25,0.004940375
PETRONENGG,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,175.85,#N/A,#N/A,#N/A,#N/A
PETRONET,Buy,ENERGY-OIL & GAS,#N/A,#N/A,433.3,1.47,443,434.5,0.021896163
PFC,Buy,FINANCIAL SERVICES-NBFC,#N/A,#N/A,166.35,-3.49,166.45,160.35,0.000600781
PFIZER,Buy,PHARMA,#REF!,#REF!,1722.3,-0.71,1733.95,1705,0.006718764
PFOCUS,Exit,MEDIA-ENTERTAINMENT,#REF!,#REF!,111.65,0.76,114.6,110.3,0.02574171
PFS,Buy,FINANCIAL SERVICES-NBFC,#REF!,#REF!,48.25,0.62,49.5,48.05,0.025252525
PGEL,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,180.3,-0.72,182,178.05,0.009340659
PGHH,Exit,FMCG,#REF!,#REF!,7913.4,-0.11,8049,7905,0.016846813
PGIL,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,131.7,#N/A,#N/A,#N/A,#N/A
PHILIPCARB,HWV,CHEMICALS,CRUDE OIL,UP,452.35,-1.43,454.8,444,0.005386983
PHOENIXLL,BWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,175.2,#N/A,#N/A,#N/A,#N/A
PHOENIXLTD,HWV,REALTY,#REF!,#REF!,412.3,0.9,433.4,411.8,0.048684818
PIDILITIND,HWV,CHEMICALS,#N/A,#N/A,746.55,-0.2,748.9,742,0.003137936
PIIND,Buy,CHEMICALS,#REF!,#REF!,844.05,2.48,872,845,0.032052752
PILANIINVS,HWLV,FINANCIAL SERVICES,#N/A,#N/A,2364,#N/A,#N/A,#N/A,#N/A
PILITA,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,20,#N/A,#N/A,#N/A,#N/A
PINCON,NL,FMCG-BEVERAGES,#REF!,#REF!,72.85,0.21,74.25,72.25,0.018855219
PIONDIST,Exit,FMCG-BEVERAGES,#N/A,#N/A,136.65,#N/A,#N/A,#N/A,#N/A
PIONEEREMB,TA,TEXTILES AND APPAREL,#N/A,#N/A,49.2,#N/A,#N/A,#N/A,#N/A
PIRPHYTO,Exit,PHARMA,#REF!,#REF!,80.25,0,0,0,#DIV/0!
PITTILAM,RS,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,61.85,#N/A,#N/A,#N/A,#N/A
PKTEA,HWLV,FMCG-BEVERAGES,#N/A,#N/A,158.2,#N/A,#N/A,#N/A,#N/A
PLASTIBLEN,HWLV,CHEMICALS,#N/A,#N/A,517,#N/A,#N/A,#N/A,#N/A
PNB,TA,BANKS-PSU,#N/A,#N/A,172.15,0.32,176.2,172,0.022985244
PNBGILTS,Buy,FINANCIAL SERVICES,#N/A,#N/A,57,3.42,59.85,56.7,0.047619048
PNBHOUSING,NL,FINANCIAL SERVICES-NBFC,#N/A,#N/A,1332.35,-1.35,1355.9,1276.6,0.017368538
PNC,Exit,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,28.15,#N/A,#N/A,#N/A,#N/A
PNCINFRA,Buy,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,162.2,-0.71,163.7,158,0.009163103
PNEUMATIC,RS,REALTY-HOUSEHOLD,#N/A,#N/A,1580,#N/A,#N/A,#N/A,#N/A
POCHIRAJU,Exit,FMCG-FOOD,#N/A,#N/A,7.55,#N/A,#N/A,#N/A,#N/A
PODDARHOUS,NL,#REF!,#N/A,#N/A,1095.55,#N/A,#N/A,#N/A,#N/A
PODDARMENT,NL,FMCG-PACKAGING,#N/A,#N/A,259.3,#N/A,#N/A,#N/A,#N/A
POKARNA,NL,REALTY-HOUSEHOLD,#N/A,#N/A,1516.7,-1.03,1544.95,1495.4,0.018285381
POLARIS,Buy,IT,#REF!,#REF!,211.95,-1.93,212.75,207.6,0.003760282
POLYMED,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,257.65,-3.49,255.05,245,-0.01019408
POLYPLEX,BWLV,FMCG-PACKAGING,crude oil,down,480.5,-0.35,484.4,475.65,0.008051197
PONNIERODE,HWLV,FMCG-SUGAR,#N/A,#N/A,199.5,1.25,204,194.05,0.022058824
POWERGRID,Buy,INFRA-POWER,#N/A,#N/A,210.5,-0.47,211.5,209.05,0.004728132
POWERMECH,BWLV,IT,#N/A,#N/A,609.05,-0.64,623.35,600.1,0.022940563
PPAP,HWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,287.3,9.99,319.95,289.85,0.102047195
PRABHAT,Buy,FMCG-FOOD,#REF!,#REF!,123.55,-1.82,124.95,121.1,0.011204482
PRADIP,TA,TEXTILES AND APPAREL,#N/A,#N/A,2.2,#N/A,#N/A,#N/A,#N/A
PRAENG,Exit,REALTY,#N/A,#N/A,14.7,#N/A,#N/A,#N/A,#N/A
PRAJIND,Buy,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,85.6,-1.23,85.9,84.2,0.003492433
PRAKASH,HWV,METALS AND MINING,#REF!,#REF!,91.85,1.31,94.8,92.05,0.031118143
PRAKASHCON,HWLV,REALTY,#N/A,#N/A,4.25,0,4.3,4.1,0.011627907
PRAKASHSTL,Exit,METALS AND MINING,#N/A,#N/A,1.25,#N/A,#N/A,#N/A,#N/A
PRATIBHA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,11.85,0.84,12.15,11.75,0.024691358
PRECAM,BWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,134.8,#N/A,#N/A,#N/A,#N/A
PRECOT,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,80.65,#N/A,#N/A,#N/A,#N/A
PRECWIRE,HWLV,METALS AND MINING,#N/A,#N/A,139.35,#N/A,#N/A,#N/A,#N/A
PREMEXPLN,NL,DEFENCE,#N/A,#N/A,425.1,#N/A,#N/A,#N/A,#N/A
PREMIER,Exit,CEMENTS,#N/A,#N/A,32.85,#N/A,#N/A,#N/A,#N/A
PREMIERPOL,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,28.5,#N/A,#N/A,#N/A,#N/A
PRESSMN,HWLV,MEDIA-ENTERTAINMENT,#N/A,#N/A,71.1,0.49,72.45,70.65,0.01863354
PRESTIGE,HWV,REALTY,#REF!,#REF!,242.55,1.75,250.05,242.55,0.029994001
PRICOLLTD,NL,#REF!,#N/A,#N/A,84,#N/A,#N/A,#N/A,#N/A
PRIMESECU,BWLV,FINANCIAL SERVICES,#N/A,#N/A,38.25,-1.31,38.25,37,0
PRISMCEM,Exit,CEMENTS,#REF!,#REF!,121.8,-0.25,122.8,120.8,0.008143322
PROVOGE,Exit,TEXTILES AND APPAREL,#N/A,#N/A,4.65,#N/A,#N/A,#N/A,#N/A
PROZONINTU,Exit,REALTY,#N/A,#N/A,44.75,#N/A,#N/A,#N/A,#N/A
PSB,BWLV,BANKS-PSU,BOND PRICE UP,UP,66.75,-0.45,67.3,66.15,0.008172363
PSL,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,5.8,#N/A,#N/A,#N/A,#N/A
PSUBNKBEES,Exit,ETF,#N/A,#N/A,412.19,#N/A,#N/A,#N/A,#N/A
PTC,Buy,INFRA-POWER,#N/A,#N/A,103.2,-1.36,103.95,101.3,0.007215007
PTL,BWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,49.1,#N/A,#N/A,#N/A,#N/A
PUNJABCHEM,Exit,CHEMICALS,#N/A,#N/A,286.95,#N/A,#N/A,#N/A,#N/A
PUNJLLOYD,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,24.75,-0.81,25.35,24.4,0.023668639
PURVA,BWLV,REALTY,#REF!,#REF!,66.55,-0.75,68,66.05,0.021323529
PVP,Exit,REALTY,#N/A,#N/A,5.4,#N/A,#N/A,#N/A,#N/A
PVR,RS,MEDIA-ENTERTAINMENT,#REF!,#REF!,1542.45,0.36,1562.65,1538.5,0.012926759
QUESS,NL,IT,#REF!,#REF!,879,-2.39,898,855,0.021158129
QUICKHEAL,HWV,IT,#REF!,#REF!,242.55,0.43,245.5,242,0.012016293
QUINTEGRA,HWLV,IT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
RADAAN,HWLV,MEDIA-ENTERTAINMENT,#N/A,#N/A,1.45,#N/A,#N/A,#N/A,#N/A
RADICO,Buy,FMCG-BEVERAGES,RECTIFIED SPIRIT,DOWN,124.35,3.34,129.9,123.8,0.042725173
RADIOCITY,NL,MEDIA-ENTERTAINMENT,#N/A,#N/A,344.45,#N/A,#N/A,#N/A,#N/A
RAIN,Buy,METALS AND MINING,Calcined Petroleum Coke,#REF!,106.3,-0.56,108.8,105.5,0.022977941
RAINBOWPAP,Exit,PAPER,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A
RAIREKMOH,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,68.35,#N/A,#N/A,#N/A,#N/A
RAJESHEXPO,Buy,JEWELLERY,#REF!,#REF!,626.2,0.5,631.5,626.4,0.008392716
RAJOIL,Exit,FMCG-FOOD,#N/A,#N/A,1.8,#N/A,#N/A,#N/A,#N/A
RAJRAYON,Exit,TEXTILES AND APPAREL,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A
RAJSREESUG,Exit,FMCG-SUGAR,#N/A,#N/A,63.95,#N/A,#N/A,#N/A,#N/A
RAJTV,TA,MEDIA-ENTERTAINMENT,#N/A,#N/A,63.4,#N/A,#N/A,#N/A,#N/A
RALLIS,Buy,CHEMICALS,#REF!,#REF!,247.95,-0.56,252.15,244.2,0.016656752
RAMANEWS,TA,PAPER,#N/A,#N/A,30.7,#N/A,#N/A,#N/A,#N/A
RAMASTEEL,HWLV,METALS AND MINING,#REF!,#REF!,159.9,-0.75,160.45,157.7,0.003427859
RAMCOCEM,HWV,CEMENTS,LIME STONE,Down,716.55,0.43,725,714,0.011655172
RAMCOIND,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,230.3,5.73,247.9,230,0.07099637
RAMCOSYS,Exit,IT,#N/A,#N/A,385.1,1.27,403.55,383.5,0.045719242
RAMKY,Exit,REALTY,#REF!,#REF!,108.8,-2.48,110.9,104.7,0.018935978
RAMSARUP,Exit,METALS AND MINING,#N/A,#N/A,2.3,#N/A,#N/A,#N/A,#N/A
RANASUG,Exit,FMCG-SUGAR,#N/A,#N/A,9.95,0,10.1,9.95,0.014851485
RANEENGINE,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,629.05,#N/A,#N/A,#N/A,#N/A
RANEHOLDIN,BWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,1019.95,-0.68,1038.5,1006,0.017862301
RASOYPR,Exit,FMCG-FOOD,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,#N/A
RATNAMANI,Buy,METALS AND MINING,#N/A,#N/A,795.8,0.14,804.85,793,0.011244331
RAYMOND,Exit,TEXTILES AND APPAREL,"wool, crude",Down,769.25,-0.32,775,763.5,0.007419355
RBL,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,993.7,3.59,1075,999.8,0.075627907
RBLBANK,NL,BANKS-PRIVATE,#REF!,#REF!,561.95,-0.13,569,560.6,0.012390158
RCF,HWV,FERTILISERS,Natural Gas,Down,96.8,-1.5,97.8,94.1,0.010224949
RCOM,Exit,INFRA-TELECOM,#N/A,#N/A,33.1,-0.76,33.35,32.7,0.007496252
RDEL,Exit,TRANSPORTATION LOGISTICS,#REF!,#REF!,67.3,0.29,68.9,67.25,0.023222061
RECLTD,Buy,FINANCIAL SERVICES-NBFC,#N/A,#N/A,218.5,-2.95,219.9,212,0.00636653
REDINGTON,Buy,TRANSPORTATION LOGISTICS,#REF!,#REF!,128.4,-0.31,130,126.85,0.012307692
REFEX,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A
REGENCERAM,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,9.05,#N/A,#N/A,#N/A,#N/A
REIAGROLTD,Exit,FMCG-FOOD,#N/A,#N/A,0.35,#N/A,#N/A,#N/A,#N/A
RELAXO,HWLV,FOOTWEAR,#N/A,#N/A,492.95,#N/A,#N/A,#N/A,#N/A
RELCAPITAL,HWV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,685.25,-1.54,689.2,671.95,0.005731283
RELDIVOPP,Exit,ETF,#N/A,#N/A,25.69,#N/A,#N/A,#N/A,#N/A
RELIANCE,Buy,ENERGY-OIL & GAS,#N/A,#N/A,1359.1,0.04,1369.75,1351.65,0.007775141
